epoch,generation,walltime_sec,pure_train_chi2,test_chi2,test1_frac,test2_frac,test3_frac,test4_frac,test5_frac,test6_frac,test7_frac,test8_frac,other_frac,other_chi2,other_n_classes,l1_loss,l2_loss,regularization_loss,density,n_zero_edges,n_classes,doubled_class,seed,l1_scale,l2_scale,num_epoch,train_class_idx,replicate_uid
25,3900,11.094301700592041,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.053225397569741914,1877,0.00011695702666388577,2.1922394276589112e-08,2.560605839163715e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
26,4000,11.104159355163574,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.053225397569741914,1877,0.00011960895047670533,2.241537267911215e-08,2.6186658180159828e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
27,4600,11.113924503326416,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05360415470525581,1876,0.00012505345299815746,2.4122532515375304e-08,2.737878414247459e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
28,4700,11.123717069625854,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05360415470525581,1876,0.0001262399620510108,2.4402261832107197e-08,2.7638564122714364e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
29,5400,11.133476734161377,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.053604154705255806,1876,0.00013492187820547287,2.8977903736594213e-08,2.9539904940887965e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
30,5500,11.143239259719849,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.0532253975697419,1877,0.0001345956945469989,2.8759387275303298e-08,2.946846181992037e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
31,6400,11.152989387512207,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05284563843122401,1878,0.00014935500154787426,3.6065581380276834e-08,3.270066229929193e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
32,6500,11.162749528884888,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05284563843122401,1878,0.00014790684421777013,3.5916037415079725e-08,3.2383632246378744e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
33,7300,11.172524213790894,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05284563843122401,1878,0.0001560105821022732,3.978785665260031e-08,3.4158276114951596e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
34,7400,11.182321548461914,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05284563843122401,1878,0.0001563940457255813,3.996365581397059e-08,3.4242249703934405e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
35,7600,11.192189455032349,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05284563843122401,1878,0.0001602209596996454,4.194765226425204e-08,3.508033813218259e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
36,7700,11.202029466629028,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05284563843122401,1878,0.00016228129759573342,4.2688982472004915e-08,3.553148695037573e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
37,9000,11.21177339553833,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05360415470525582,1876,0.00017111091104530523,4.858844308954526e-08,3.746541023200433e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
38,9100,11.2215256690979,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.0532253975697419,1877,0.00017183689762661426,4.919053790266921e-08,3.762444309266737e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
39,10700,11.231263637542725,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.053225397569741914,1877,0.0001900948898272354,5.815293388560908e-08,4.1622820440620094e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
40,10800,11.241044998168945,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.053225397569741914,1877,0.00019332261729723105,6.009340358822578e-08,4.232973867304564e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
41,12600,11.250780820846558,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05360415470525582,1876,0.0002064343053752093,6.813384436400776e-08,4.5201414877062477e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
42,12700,11.260533094406128,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05360415470525582,1876,0.000206120713309555,6.76313649038076e-08,4.5132674102793314e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
43,14700,11.270270347595215,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05360415470525581,1876,0.00021783337246473504,7.4645796131508e-08,4.769790793379549e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
44,14800,11.280596017837524,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05360415470525581,1876,0.00021797348699867917,7.558155006756134e-08,4.772875679852371e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
45,14900,11.290354013442993,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05360415470525581,1876,0.00021797348699867917,7.558155006756134e-08,4.772875679852371e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
46,15000,11.300175666809082,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05360415470525581,1876,0.0002168641709605229,7.59027695227838e-08,4.748598854946779e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
47,17700,11.310072183609009,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.0532253975697419,1877,0.00022896614954454633,8.500508963177245e-08,5.013684110233123e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
48,17800,11.31986141204834,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.053225397569741914,1877,0.00023424126439924205,8.828423395061235e-08,5.1292186781444704e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
49,20900,11.329627513885498,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05170034899764629,1881,0.00025813238911447117,1.078683711308694e-07,5.652567496767261e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
50,21000,11.339394092559814,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05131658184711237,1882,0.00026100699952286296,1.0943231211738865e-07,5.715522433485701e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
51,22000,11.349204540252686,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05246487728970212,1879,0.00026262548236588004,1.150926828173046e-07,5.751058569962643e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
52,22100,11.359004497528076,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05246487728970212,1879,0.00026308804779793626,1.1650004406626302e-07,5.7612108671340844e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",3f72a4b7-a3f7-4e8b-b4ef-08cdec1c979e
