epoch,generation,walltime_sec,pure_train_chi2,test_chi2,test1_frac,test2_frac,test3_frac,test4_frac,test5_frac,test6_frac,test7_frac,test8_frac,other_frac,other_chi2,other_n_classes,l1_loss,l2_loss,regularization_loss,density,n_zero_edges,n_classes,doubled_class,seed,l1_scale,l2_scale,num_epoch,train_class_idx,replicate_uid
18,2000,9.25264859199524,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05360415470525581,1876,8.962335441700546e-05,1.2409768768005194e-08,1.9620910137948417e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
19,2300,9.260380744934082,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.053604154705255806,1876,8.98356783033615e-05,1.2657159362931188e-08,1.966743484088479e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
20,2400,9.268095016479492,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.0539819098377657,1875,9.202482925256393e-05,1.318557949390788e-08,2.014674038349009e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
21,2700,9.275822162628174,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05398190983776569,1875,9.471611222761931e-05,1.4562859273965337e-08,2.073612390988792e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
22,2800,9.283517360687256,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05398190983776569,1875,9.471611222761931e-05,1.4562859273965337e-08,2.073612390988792e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
23,3200,9.292234659194946,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05398190983776569,1875,0.00010576357799639021,1.799920629593703e-08,2.3155067072606046e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
24,3300,9.299979448318481,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05398190983776569,1875,0.00010582964834698528,1.8256030815304964e-08,2.3169578669009985e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
25,3900,9.307644605636597,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.053225397569741914,1877,0.00011695702666388577,2.1922394276589112e-08,2.560605839163715e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
26,4000,9.315351486206055,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.053225397569741914,1877,0.00011960895047670533,2.2415372679112155e-08,2.6186658180159828e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
27,4600,9.323055982589722,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05360415470525581,1876,0.00012505345299815746,2.4122532515375308e-08,2.737878414247459e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
28,4700,9.33092451095581,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05360415470525581,1876,0.0001262399620510108,2.4402261832107194e-08,2.7638564122714364e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
29,5400,9.338622808456421,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.053604154705255806,1876,0.00013492187820547287,2.897790373659422e-08,2.9539904940887965e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
30,5500,9.346340656280518,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.0532253975697419,1877,0.0001345956945469989,2.87593872753033e-08,2.946846181992037e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
31,6400,9.35403847694397,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05284563843122401,1878,0.00014935500154787426,3.606558138027682e-08,3.270066229929193e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
32,6500,9.36173152923584,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05284563843122401,1878,0.00014790684421777013,3.591603741507973e-08,3.2383632246378744e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
33,7300,9.36941909790039,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05284563843122401,1878,0.0001560105821022732,3.978785665260031e-08,3.4158276114951596e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
34,7400,9.377111196517944,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05284563843122401,1878,0.0001563940457255813,3.9963655813970583e-08,3.4242249703934405e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
35,7600,9.384803533554077,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05284563843122401,1878,0.0001602209596996454,4.194765226425203e-08,3.508033813218259e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
36,7700,9.392505407333374,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05284563843122401,1878,0.00016228129759573342,4.2688982472004934e-08,3.553148695037573e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
37,9000,9.40018630027771,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.05360415470525582,1876,0.00017111091104530523,4.858844308954526e-08,3.746541023200433e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
38,9100,9.407920360565186,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.0532253975697419,1877,0.00017183689762661426,4.919053790266923e-08,3.762444309266737e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
39,10700,9.415589094161987,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.053225397569741914,1877,0.0001900948898272354,5.815293388560907e-08,4.1622820440620094e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
40,10800,9.423296689987183,0.998003,0.998008,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.053225397569741914,1877,0.00019332261729723105,6.009340358822578e-08,4.232973867304564e-05,1.0,0,3,-1,1,0.995,0.005,100,"0,3,6",2d4f4c33-d241-4e5c-a88a-ea2bd1e3a57f
