epoch,generation,walltime_sec,pure_train_chi2,test_chi2,blip_train_chi2,bitflip_chi2,test1_frac,test2_frac,test3_frac,test4_frac,test5_frac,test6_frac,test7_frac,test8_frac,train1_frac,train2_frac,train3_frac,s1_blip_match_frac,s2_blip_match_frac,s3_blip_match_frac,bitflip_frac,other_frac,other_chi2,other_n_classes,l1_loss,l2_loss,regularization_loss,v,seed,zero_init,l1_scale,l2_scale,blip_freq,blip_mode,blip_sites,blip_release_prob,num_epoch,schedule_mode,replicate_uid
14,1400,10.556270599365234,1.0,1.0,1.0,0.9960959999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.052891353849984536,1876,5.4718548687891075e-05,4.858664239927947e-09,1.1978813453984943e-05,16,20,False,0.995,0.005,0.66,fixed,0-4-8,0.0,100,none,877503d7-3a07-415a-9a58-542ab084ed38
15,1500,10.570683240890503,1.0,1.0,1.0,0.9960959999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.052891353849984536,1876,5.512361480832219e-05,4.924712817100289e-09,1.2067494976976978e-05,16,20,False,0.995,0.005,0.66,fixed,0-4-8,0.0,100,none,877503d7-3a07-415a-9a58-542ab084ed38
16,1600,10.585036277770996,1.0,1.0,1.0,0.9960959999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.052891353849984536,1876,5.590356883621893e-05,4.9953247588690664e-09,1.223824032995251e-05,16,20,False,0.995,0.005,0.66,fixed,0-4-8,0.0,100,none,877503d7-3a07-415a-9a58-542ab084ed38
17,1700,10.599578857421875,1.0,1.0,1.0,0.9960959999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.052891353849984536,1876,5.885323350777988e-05,5.462926686575372e-09,1.2884010770923466e-05,16,20,False,0.995,0.005,0.66,fixed,0-4-8,0.0,100,none,877503d7-3a07-415a-9a58-542ab084ed38
18,1800,10.614227294921875,1.0,1.0,1.0,0.9960959999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.052891353849984536,1876,6.02347218179696e-05,5.656307153457147e-09,1.3186455304312704e-05,16,20,False,0.995,0.005,0.66,fixed,0-4-8,0.0,100,none,877503d7-3a07-415a-9a58-542ab084ed38
19,1900,10.629014253616333,1.0,1.0,1.0,0.9960959999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.053271372404126875,1875,6.066294738131947e-05,5.7457021015184835e-09,1.3280210865170121e-05,16,20,False,0.995,0.005,0.66,fixed,0-4-8,0.0,100,none,877503d7-3a07-415a-9a58-542ab084ed38
20,2000,10.6437828540802,1.0,1.0,1.0,0.9960959999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.053271372404126875,1875,6.230374601875993e-05,6.099758561194646e-09,1.3639448957633176e-05,16,20,False,0.995,0.005,0.66,fixed,0-4-8,0.0,100,none,877503d7-3a07-415a-9a58-542ab084ed38
21,2100,10.658454656600952,1.0,1.0,1.0,0.9960959999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.053271372404126875,1875,6.273505756873159e-05,6.2958399398099554e-09,1.373390031138391e-05,16,20,False,0.995,0.005,0.66,fixed,0-4-8,0.0,100,none,877503d7-3a07-415a-9a58-542ab084ed38
22,2200,10.672998666763306,1.0,1.0,1.0,0.9960959999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.053271372404126875,1875,6.291617884856213e-05,6.368803520856425e-09,1.3773561622619213e-05,16,20,False,0.995,0.005,0.66,fixed,0-4-8,0.0,100,none,877503d7-3a07-415a-9a58-542ab084ed38
23,2300,10.68763518333435,1.0,1.0,1.0,0.9960959999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998,0.053271372404126875,1875,6.417370245713713e-05,6.619126507622075e-09,1.4048881101903767e-05,16,20,False,0.995,0.005,0.66,fixed,0-4-8,0.0,100,none,877503d7-3a07-415a-9a58-542ab084ed38
